# template_id	category	shortcut	text
T001	诊断	上呼吸道感染	急性上呼吸道感染。咽部充血，扁桃体I-II度肿大，双肺呼吸音清，未闻及干湿啰音。体温: 37.8℃。
T002	诊断	高血压病	原发性高血压病。血压160/95mmHg，心率72次/分，律齐。无头痛头晕。建议低盐低脂饮食。
T003	诊断	糖尿病	2型糖尿病。空腹血糖升高，糖化血红蛋白超标。建议控制饮食，规律运动，口服降糖药。
T004	诊断	冠心病	冠状动脉粥样硬化性心脏病。心电图示ST段轻度改变。建议口服抗血小板药物+他汀类。
T005	诊断	慢性胃炎	慢性非萎缩性胃炎。上腹部隐痛伴反酸。胃镜检查提示胃窦部黏膜充血水肿。
T006	诊断	支气管炎	急性支气管炎。咳嗽咳痰，黄白色黏痰。双肺呼吸音粗，可闻及散在干啰音。
T007	诊断	颈椎病	颈椎病（神经根型）。颈部僵硬疼痛，伴上肢放射性麻木。颈椎X线示骨质增生。
T008	诊断	心律不齐	窦性心律不齐。心电图示偶发房性早搏。建议动态心电图进一步检查。
T009	诊断	过敏性鼻炎	常年性过敏性鼻炎。鼻塞、流清涕、打喷嚏。鼻甲黏膜苍白、水肿。
T010	诊断	高脂血症	混合型高脂血症。总胆固醇及甘油三酯均升高。建议低脂饮食+运动。
T011	治疗	上呼吸道感染	1. 口服抗生素治疗3-5天2. 止咳化痰对症治疗3. 多饮温水，注意休息4. 体温升高可物理降温
T012	治疗	高血压	1. 口服降压药2. 低盐低脂饮食3. 每日监测血压4. 适当有氧运动5. 定期复查
T013	治疗	糖尿病	1. 口服降糖药/胰岛素治疗2. 控制饮食总热量3. 定时定量进餐4. 监测血糖5. 适量运动
T014	治疗	胃炎	1. 质子泵抑制剂口服2. 胃黏膜保护剂3. 忌辛辣刺激食物4. 规律进餐5. 复查胃镜
T015	治疗	支气管炎	1. 抗生素治疗（细菌感染）2. 祛痰止咳药3. 支气管扩张剂4. 多饮水，清淡饮食5. 戒烟戒酒
T016	检查	血常规	血常规+CRP：白细胞、中性粒细胞计数、血红蛋白、血小板、C反应蛋白。
T017	检查	生化全项	肝功能、肾功能、血糖、血脂四项、电解质。需空腹抽血。
T018	检查	胸部X线	胸部正位片。评估双肺纹理、心影大小、纵隔情况。
T019	检查	心电图	十二导联心电图。评估心率、心律、ST-T改变等。
T020	检查	腹部B超	肝、胆、胰、脾、双肾B超。评估脏器形态、回声、占位等。
